Volcom,Nova Jean,$43.99,http://www.zappos.com/images/z/1/6/1/1/1/6/1611165-p-DETAILED.jpg,http://www.zappos.com/product/7586933,,,,,,
Volcom,Kinkade Jean,$55.00,http://www.zappos.com/images/z/1/7/9/7/2/0/1797205-p-DETAILED.jpg,http://www.zappos.com/product/7608022,,,,,,
Alpinestars,Circuit Jean,$61.00,http://www.zappos.com/images/z/1/5/7/1573688-p-DETAILED.jpg,http://www.zappos.com/product/7797507,,43.0000,33.0000,10.0000,18.0000,15.0000
Fox,Duster Jean,$51.99,http://www.zappos.com/images/z/1/6/4/1644343-p-DETAILED.jpg,http://www.zappos.com/product/7368185,34.0000,42.0000,30.0000,11.0000,10.0000,15.0000
Fox,Duster Jean,$51.99,http://www.zappos.com/images/z/1/6/4/1644343-p-DETAILED.jpg,http://www.zappos.com/product/7368185,34.0000,42.0000,30.0000,11.0000,10.0000,15.0000
DSQUARED2,Slim Jean,$445.00,http://www.zappos.com/images/z/1/6/6/2/5/1/1662510-p-DETAILED.jpg,http://www.zappos.com/product/7875428,,,,,,
WeSC,Slim Jean,$61.99,http://www.zappos.com/images/z/1/6/6/8/8/8/1668882-p-DETAILED.jpg,http://www.zappos.com/product/7878388,33.0000,42.0000,32.0000,10.0000,16.0000,15.0000
Matix Clothing Company,Miner Jean,$60.00,http://www.zappos.com/images/z/1/7/0/1700888-p-DETAILED.jpg,http://www.zappos.com/product/7892037,34.0000,41.0000,31.0000,10.0000,9.0000,15.0000
DSQUARED2,Slim Jean,$350.00,http://www.zappos.com/images/z/1/7/2/6/7/6/1726763-p-DETAILED.jpg,http://www.zappos.com/product/7904985,32.0000,43.0000,35.0000,9.0000,16.0000,13.0000
DSQUARED2,Dean Jean ,$550.00,http://www.zappos.com/images/z/1/7/2/6/8/2/1726820-p-DETAILED.jpg,http://www.zappos.com/product/7904999,34.0000,43.0000,34.0000,10.0000,16.0000,15.0000
Matix Clothing Company,Gripper Jean,$62.00,http://www.zappos.com/images/z/1/7/8/5/1/0/1785109-p-DETAILED.jpg,http://www.zappos.com/product/7892035,34.0000,42.0000,31.0000,9.0000,7.0000,15.0000
Matix Clothing Company,Torey Jean,$65.00,http://www.zappos.com/images/z/1/7/8/5/1/0/1785104-p-DETAILED.jpg,http://www.zappos.com/product/7930668,33.0000,42.0000,32.0000,10.0000,16.0000,16.0000
Matix Clothing Company,Constrictor Jean,$62.00,http://www.zappos.com/images/z/1/7/8/5/1/1/1785110-p-DETAILED.jpg,http://www.zappos.com/product/7930672,31.0000,40.0000,31.0000,9.0000,14.0000,15.0000
Volcom,Nova Jean,$43.99,http://www.zappos.com/images/z/1/6/1/1/1/6/1611165-p-DETAILED.jpg,http://www.zappos.com/product/7586933,,,,,,
Volcom,Nova Jean,$43.99,http://www.zappos.com/images/z/1/6/1/1/1/6/1611165-p-DETAILED.jpg,http://www.zappos.com/product/7586933,,,,,,
Volcom,Kinkade Jean,$55.00,http://www.zappos.com/images/z/1/7/9/7/2/0/1797205-p-DETAILED.jpg,http://www.zappos.com/product/7608022,,,,,,
DSQUARED2,Dean Jean ,$255.99,http://www.zappos.com/images/z/1/5/4/1541076-p-DETAILED.jpg,http://www.zappos.com/product/7816466,32.0000,44.0000,34.0000,10.0000,16.0000,15.0000
DSQUARED2,Dean Jean ,$262.99,http://www.zappos.com/images/z/1/5/4/1541078-p-DETAILED.jpg,http://www.zappos.com/product/7816469,34.0000,42.0000,32.0000,10.0000,16.0000,15.0000
DSQUARED2,Slim Jean ,$247.99,http://www.zappos.com/images/z/1/5/4/1541079-p-DETAILED.jpg,http://www.zappos.com/product/7816468,34.0000,43.0000,36.0000,9.0000,16.0000,14.0000
Volcom,Vorta Jean,$63.99,http://www.zappos.com/images/z/1/5/5/1556363-p-DETAILED.jpg,http://www.zappos.com/product/7557557,,,,,,
DSQUARED2,Dean Jean ,$425.00,http://www.zappos.com/images/z/1/6/6/2/5/0/1662509-p-DETAILED.jpg,http://www.zappos.com/product/7875423,,43.0000,34.0000,10.0000,16.0000,15.0000
