43,J. Crew,Essex,32,30,,,32.5,10.5,15,12,29.5,11.75,9.25,40,8.25,http://www.jcrew.com/index.jsp?bmForm=search_topnav&bmFormID=1318380805709&bmUID=1318380805709&bmIsForm=true&bmPrevTemplate=%2Findex.jsp&bmText=searchTerm&searchTerm=92483&bmImage=findIt.x&bmImage=findIt.y&bmImage=findIt&findIt.x=0&findIt.y=0&bmFields=bmForm%2CbmFormID%2CbmUID%2CbmIsForm%2CbmPrevTemplate%2CbmText%2CbmImage&bmHash=f7479747f5c369da30cd8317692b6e100af882ea,http://images.jcrew.com/fsi/server?type=image&source=images/eiec/92/92483/92483_BL8603.tif&width=393&height=393&effects=sharpen(20)&quality=90&profile=jpeg
60,J. Crew,Essex,32,32,,,33,10.5,15.75,10.75,31.25,12,9.25,41.5,8.25,http://www.jcrew.com/index.jsp?bmForm=search_topnav&bmFormID=1318380805709&bmUID=1318380805709&bmIsForm=true&bmPrevTemplate=%2Findex.jsp&bmText=searchTerm&searchTerm=92483&bmImage=findIt.x&bmImage=findIt.y&bmImage=findIt&findIt.x=0&findIt.y=0&bmFields=bmForm%2CbmFormID%2CbmUID%2CbmIsForm%2CbmPrevTemplate%2CbmText%2CbmImage&bmHash=f7479747f5c369da30cd8317692b6e100af882ea,http://images.jcrew.com/fsi/server?type=image&source=images/eiec/92/92483/92483_BL8603.tif&width=393&height=393&effects=sharpen(20)&quality=90&profile=jpeg
58,J. Crew,Stanton Classic,31,32,,,30,10,14.75,10,31,11,8.5,40.75,8,http://www.jcrew.com/mens_category/pants/stantonpants/PRDOVR~23895/23895.jsp,http://images.jcrew.com/fsi/server?type=image&source=images/onFigure/23/23895/23895_GR7365_m.tif&width=393&height=393&effects=sharpen(20)&quality=90&profile=jpeg
1,Old Navy,Broken-in Khakis,30,32,,,31,10.5,16,11,31,12.25,9.5,40,8.5,http://oldnavy.gap.com/browse/product.do?cid=67525&vid=1&pid=776056&scid=776056012,http://www1.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/776/776056/big/on776056-01vliv01.jpg
2,Old Navy,Broken-in Khakis,31,32,,,33,11,15,10.75,32,12,9.5,40.5,8.75,http://oldnavy.gap.com/browse/product.do?cid=67525&vid=1&pid=776056&scid=776056012,http://www1.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/776/776056/big/on776056-01vliv01.jpg
3,Old Navy,Broken-in Khakis,32,32,,,33.5,11.5,16,10.5,32.25,12.75,9.5,42.5,8.75,http://oldnavy.gap.com/browse/product.do?cid=67525&vid=1&pid=776056&scid=776056012,http://www1.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/776/776056/big/on776056-01vliv01.jpg
4,Old Navy,Broken-in Khakis,33,32,,,34,12,16,12.25,31.25,13,9.5,42,9,http://oldnavy.gap.com/browse/product.do?cid=67525&vid=1&pid=776056&scid=776056012,http://www1.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/776/776056/big/on776056-01vliv01.jpg
5,Old Navy,Broken-in Khakis,32,30,,,34,11,15.5,11,30,12.5,10,40,9.5,http://oldnavy.gap.com/browse/product.do?cid=67525&vid=1&pid=776056&scid=776056012,http://www1.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/776/776056/big/on776056-01vliv01.jpg
26,Old Navy,Broken-in Khakis Relaxed Fit,33,32,,,34,13.5,16,11,31,12,9.5,42.25,9,http://oldnavy.gap.com/browse/product.do?pid=776056&locale=en_US&kwid=1&sem=false&sdReferer=http%3A%2F%2Fwww.oldnavy.com%2Fproducts%2Fmens-pants.jsp,http://www4.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/776/776056/big/on776056-02vliv01.jpg
27,Old Navy,Broken-in Khakis Relaxed Fit,30,32,,,30.5,10.5,15.25,11,30,11.75,9.25,39.25,8.25,http://oldnavy.gap.com/browse/product.do?pid=776056&locale=en_US&kwid=1&sem=false&sdReferer=http%3A%2F%2Fwww.oldnavy.com%2Fproducts%2Fmens-pants.jsp,http://www4.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/776/776056/big/on776056-02vliv01.jpg
28,Old Navy,Broken-in Khakis Relaxed Fit,34,32,,,36,11.75,16,11.5,31.25,13.25,10,42,9.25,http://oldnavy.gap.com/browse/product.do?pid=776056&locale=en_US&kwid=1&sem=false&sdReferer=http%3A%2F%2Fwww.oldnavy.com%2Fproducts%2Fmens-pants.jsp,http://www4.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/776/776056/big/on776056-02vliv01.jpg
35,Old Navy,Broken-in Khakis Relaxed Fit,32,30,,,34,11.75,15.5,10.75,29,12,9.75,39.5,8.75,http://oldnavy.gap.com/browse/product.do?pid=776056&locale=en_US&kwid=1&sem=false&sdReferer=http%3A%2F%2Fwww.oldnavy.com%2Fproducts%2Fmens-pants.jsp,http://www4.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/776/776056/big/on776056-02vliv01.jpg
36,Old Navy,Broken-in Khakis Relaxed Fit,32,34,,,34,11.5,15.5,10.75,34,12.25,9.5,43.25,8.75,http://oldnavy.gap.com/browse/product.do?pid=776056&locale=en_US&kwid=1&sem=false&sdReferer=http%3A%2F%2Fwww.oldnavy.com%2Fproducts%2Fmens-pants.jsp,http://www4.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/776/776056/big/on776056-02vliv01.jpg
57,Old Navy,Broken-in Khakis Relaxed Fit,32,32,,,33.5,11,15,10.75,32,12,9.25,41.75,8.5,http://oldnavy.gap.com/browse/product.do?pid=776056&locale=en_US&kwid=1&sem=false&sdReferer=http%3A%2F%2Fwww.oldnavy.com%2Fproducts%2Fmens-pants.jsp,http://www4.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/776/776056/big/on776056-02vliv01.jpg
13,Old Navy,Cargo,31,32,,,32,11,15.5,11,32,12.5,10,41.5,9.25,http://oldnavy.gap.com/browse/product.do?cid=15318&vid=1&pid=859470&scid=859470002,http://www2.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/859/859470/big/on859470-00vliv01.jpg
14,Old Navy,Cargo,33,32,,,34,11,16,11.5,31.5,13,10,41,10,http://oldnavy.gap.com/browse/product.do?cid=15318&vid=1&pid=859470&scid=859470002,http://www2.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/859/859470/big/on859470-00vliv01.jpg
15,Old Navy,Cargo,30,32,,,31,10.5,14.5,11,32,12.5,10,41.5,9.25,http://oldnavy.gap.com/browse/product.do?cid=15318&vid=1&pid=859470&scid=859470002,http://www2.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/859/859470/big/on859470-00vliv01.jpg
33,Old Navy,Cargo,34,32,,,31,11,15.5,11,31.5,12.25,10,42,9.75,http://oldnavy.gap.com/browse/product.do?cid=15318&vid=1&pid=859470&scid=859470002,http://www2.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/859/859470/big/on859470-00vliv01.jpg
