Pair 1,Pair 2,Pair 3,id,zappos,picUrl,productUrl,dateAdded,title,brand,style,waist_size,length_size,material,color,waist,front_rise,back_rise,hips,inseam,thigh,knee,outseam,cuff,country_of_origin,their_description_of_fit,their_description_of_leg,their_description_of_sit,rn,other1,other2,other3,other4,measurer,date_measured,source
,,,21,FALSE,http://www.mrporter.com/images/products/300944/300944_mrp_in_m2.jpg,http://www.mrporter.com/product/300944,6/11/11 2:45,Slim Fit Chinos,Incotex,None,46,None,None,None,31.5,8.5,None,None,32.5,None,None,41.5,None,None,None,None,None,None,None,None,None,None,None,None,None
,,,22,FALSE,http://www.mrporter.com/images/products/300944/300944_mrp_in_m2.jpg,http://www.mrporter.com/product/300944,6/11/11 2:45,Slim Fit Chinos,Incotex,None,48,None,None,None,33,8.5,None,None,32.5,None,None,41.5,None,None,None,None,None,None,None,None,None,None,None,None,None
color 1,,,23,FALSE,http://www.mrporter.com/images/products/300944/300944_mrp_in_m2.jpg,http://www.mrporter.com/product/300944,6/11/11 2:45,Slim Fit Chinos,Incotex,None,50,None,None,None,34.5,9,None,None,33,None,None,41.5,None,None,None,None,None,None,None,None,None,None,None,None,None
,,,24,FALSE,http://www.mrporter.com/images/products/300944/300944_mrp_in_m2.jpg,http://www.mrporter.com/product/300944,6/11/11 2:45,Slim Fit Chinos,Incotex,None,52,None,None,None,35.5,9,None,None,33.5,None,None,41.5,None,None,None,None,None,None,None,None,None,None,None,None,None
,,,25,FALSE,http://www.mrporter.com/images/products/300944/300944_mrp_in_m2.jpg,http://www.mrporter.com/product/300944,6/11/11 2:45,Slim Fit Chinos,Incotex,None,54,None,None,None,37,9.5,None,None,34,None,None,42.5,None,None,None,None,None,None,None,None,None,None,None,None,None
,,,26,FALSE,http://www.mrporter.com/images/products/300944/300944_mrp_in_m2.jpg,http://www.mrporter.com/product/300944,6/11/11 2:45,Slim Fit Chinos,Incotex,None,56,None,None,None,38.5,9.5,None,None,34.5,None,None,43,None,None,None,None,None,None,None,None,None,None,None,None,None
,,,27,FALSE,http://www.mrporter.com/images/products/300944/300944_mrp_in_m2.jpg,http://www.mrporter.com/product/300944,6/11/11 2:45,Slim Fit Chinos,Incotex,None,58,None,None,None,40,10,None,None,34.5,None,None,43,None,None,None,None,None,None,None,None,None,None,None,None,None
,,,28,FALSE,http://www.mrporter.com/images/products/300944/300944_mrp_in_m2.jpg,http://www.mrporter.com/product/300944,6/11/11 2:45,Slim Fit Chinos,Incotex,None,60,None,None,None,41,10,None,None,34.5,None,None,43,None,None,None,None,None,None,None,None,None,None,None,None,None
,,,29,FALSE,http://www.mrporter.com/images/products/300944/300944_mrp_in_m2.jpg,http://www.mrporter.com/product/300944,6/11/11 2:45,Slim Fit Chinos,Incotex,None,62,None,None,None,41.5,10,None,None,34.5,None,None,43,None,None,None,None,None,None,None,None,None,None,None,None,None
,,,30,FALSE,http://www.mrporter.com/images/products/300945/300945_mrp_in_m2.jpg,http://www.mrporter.com/product/300945,6/11/11 2:45,Linen Blend Chinos,Incotex,None,46,None,None,None,29,10,None,None,36,None,None,45,7.75,None,None,None,None,None,None,None,None,None,None,None,None
