url,Designer,Style,Price,Pic,Meas From Waist,Des Waist,Des Inseam,waist,front,inseam,knee,cuff,thigh,back,outseam
http://www.zappos.com/product/7793965,Tommy Bahama,Bali Five,118.00,http://www.zappos.com/images/z/1/4/8/1487147-p-DETAILED.jpg,,32,,,11,33,,17.5,,16,
http://www.zappos.com/product/7800512,KR3W,K Slim Chino,62.00,http://www.zappos.com/images/z/1/5/0/1504421-p-DETAILED.jpg,,32,,,10,31.5,,15,,15,41.5
http://www.zappos.com/product/7800512,KR3W,K Slim Chino,62.00,http://www.zappos.com/images/z/1/5/0/1504421-p-DETAILED.jpg,,32,,,10,31.5,,15,,15,41.5
http://www.zappos.com/product/7800512,KR3W,K Slim Chino,62.00,http://www.zappos.com/images/z/1/5/0/1504421-p-DETAILED.jpg,,32,,,10,31.5,,15,,15,41.5
http://www.zappos.com/product/7852843,French Connection,Machine Gun Stretch Trouser,61.99,http://www.zappos.com/images/z/1/6/7/4/1/4/1674141-p-DETAILED.jpg,,32,,32,10,34,,14,,15,43
http://www.zappos.com/product/7852843,French Connection,Machine Gun Stretch Trouser,61.99,http://www.zappos.com/images/z/1/6/7/4/1/4/1674141-p-DETAILED.jpg,,32,,32,10,34,,14,,15,43
http://www.zappos.com/product/7881134,BOSS Orange,Shire3-w 10147112 01,87.99,http://www.zappos.com/images/z/1/6/7/5/1/9/1675193-p-DETAILED.jpg,,32,,32,10,34,,16,,15,44
http://www.zappos.com/product/7852843,French Connection,Machine Gun Stretch Trouser,61.99,http://www.zappos.com/images/z/1/6/7/4/1/4/1674141-p-DETAILED.jpg,,32,,32,10,34,,14,,15,43
http://www.zappos.com/product/7886622,BOSS Green,Hassly Pro 1 10141766,107.99,http://www.zappos.com/images/z/1/6/8/7/9/1/1687910-p-DETAILED.jpg,,32,,32,12,33,,16,,15,43
http://www.zappos.com/product/7886622,BOSS Green,Hassly Pro 1 10141766,107.99,http://www.zappos.com/images/z/1/6/8/7/9/1/1687910-p-DETAILED.jpg,,32,,32,12,33,,16,,15,43
http://www.zappos.com/product/7886622,BOSS Green,Hassly Pro 1 10141766,107.99,http://www.zappos.com/images/z/1/6/8/7/9/1/1687910-p-DETAILED.jpg,,32,,32,12,33,,16,,15,43
http://www.zappos.com/product/7928465,Joe's Jeans,Saidi Brixton Waffle Twill in Jet Black,158.00,http://www.zappos.com/images/z/1/7/8/0/8/9/1780894-p-DETAILED.jpg,,32,,,10,32,,16,,15,42
http://www.zappos.com/product/7947441,Ian Poulter Design,Performance Slacks,79.99,http://www.zappos.com/images/z/1/8/1/9/2/4/1819242-p-DETAILED.jpg,,32,,32,11,30,,16,,14,40
http://www.zappos.com/product/7842781,Michael Kors,Cotton Twill Classic,95.00,http://www.zappos.com/images/z/1/5/9/1598511-p-DETAILED.jpg,,33,,,11,34,,16,,15,44
http://www.zappos.com/product/7842781,Michael Kors,Cotton Twill Classic,95.00,http://www.zappos.com/images/z/1/5/9/1598511-p-DETAILED.jpg,,33,,,11,34,,16,,15,44
http://www.zappos.com/product/7842781,Michael Kors,Cotton Twill Classic,95.00,http://www.zappos.com/images/z/1/5/9/1598511-p-DETAILED.jpg,,33,,,11,34,,16,,15,44
http://www.zappos.com/product/7870086,ONETrueSaxon,Peakirk Chino,75.99,http://www.zappos.com/images/z/1/6/5/0/8/8/1650889-p-DETAILED.jpg,,32,,32,10,34,,16,,15,45
http://www.zappos.com/product/7870086,ONETrueSaxon,Peakirk Chino,75.99,http://www.zappos.com/images/z/1/6/5/0/8/8/1650889-p-DETAILED.jpg,,32,,32,10,34,,16,,15,45
http://www.zappos.com/product/7886610,BOSS Green,Handy 5 10146942 01,102.99,http://www.zappos.com/images/z/1/6/8/7/8/7/1687872-p-DETAILED.jpg,,32,,32,12,33,,17,,16,43
http://www.zappos.com/product/7312918,Kuhl,Kuhl Jean,69.00,http://www.zappos.com/images/z/4/0/7/407376-p-DETAILED.jpg,,32,,32,11,32,,18,,16,42
http://www.zappos.com/product/7312918,Kuhl,Kuhl Jean,69.00,http://www.zappos.com/images/z/4/0/7/407376-p-DETAILED.jpg,,32,,32,11,32,,18,,16,42
http://www.zappos.com/product/7393020,IZOD,Wrinkle Free American Chino Flat Front,27.00,http://www.zappos.com/images/z/5/8/1/581097-p-DETAILED.jpg,,32,32,,11.5,32,,19,,16.5,42
http://www.zappos.com/product/7393020,IZOD,Wrinkle Free American Chino Flat Front,27.00,http://www.zappos.com/images/z/5/8/1/581097-p-DETAILED.jpg,,32,32,,11.5,32,,19,,16.5,42
http://www.zappos.com/product/7393020,IZOD,Wrinkle Free American Chino Flat Front,27.00,http://www.zappos.com/images/z/5/8/1/581097-p-DETAILED.jpg,,32,32,,11.5,32,,19,,16.5,42
http://www.zappos.com/product/7393020,IZOD,Wrinkle Free American Chino Flat Front,27.00,http://www.zappos.com/images/z/5/8/1/581097-p-DETAILED.jpg,,32,32,,11.5,32,,19,,16.5,42
http://www.zappos.com/product/7393020,IZOD,Wrinkle Free American Chino Flat Front,27.00,http://www.zappos.com/images/z/5/8/1/581097-p-DETAILED.jpg,,32,32,,11.5,32,,19,,16.5,42
http://www.zappos.com/product/7517123,Tommy Bahama Denim,Standard Indigo Blues,71.99,http://www.zappos.com/images/z/8/5/8/858379-p-DETAILED.jpg,,34,34,,11.5,,,,,16.5,
http://www.zappos.com/product/7586206,Dockers Men's,True Chino D4 Relaxed Fit Flat Front,31.99,http://www.zappos.com/images/z/1/0/1/1014341-p-DETAILED.jpg,,34,,,11,34,,19,,16,44
http://www.zappos.com/product/7586215,Dockers Men's,True Chino D4 Relaxed Fit Pleated,22.99,http://www.zappos.com/images/z/1/0/1/1014364-p-DETAILED.jpg,,34,,,11,34,,19,,16,44
http://www.zappos.com/product/7586215,Dockers Men's,True Chino D4 Relaxed Fit Pleated,22.99,http://www.zappos.com/images/z/1/0/1/1014364-p-DETAILED.jpg,,34,,,11,34,,19,,16,44
http://www.zappos.com/product/7586215,Dockers Men's,True Chino D4 Relaxed Fit Pleated,22.99,http://www.zappos.com/images/z/1/0/1/1014364-p-DETAILED.jpg,,34,,,11,34,,19,,16,44
http://www.zappos.com/product/7594476,Howe,The Finest,64.99,http://www.zappos.com/images/z/1/0/3/1033019-p-DETAILED.jpg,,32,,,9.5,,,,,14.5,
http://www.zappos.com/product/7604015,Dockers Men's,Soft Khaki D3 Classic Fit Flat Front,31.99,http://www.zappos.com/images/z/1/0/5/1054786-p-DETAILED.jpg,,34,,,12,34,,19.75,,14,
http://www.zappos.com/product/7604015,Dockers Men's,Soft Khaki D3 Classic Fit Flat Front,31.99,http://www.zappos.com/images/z/1/0/5/1054786-p-DETAILED.jpg,,34,,,12,34,,19.75,,14,
http://www.zappos.com/product/7608803,Dockers Men's,Signature Khaki D3 Classic Fit Flat Front,35.99,http://www.zappos.com/images/z/1/0/6/1066420-p-DETAILED.jpg,,32,,,12,34,,20,,16,44
http://www.zappos.com/product/7608803,Dockers Men's,Signature Khaki D3 Classic Fit Flat Front,35.99,http://www.zappos.com/images/z/1/0/6/1066420-p-DETAILED.jpg,,32,,,12,34,,20,,16,44
http://www.zappos.com/product/7608803,Dockers Men's,Signature Khaki D3 Classic Fit Flat Front,35.99,http://www.zappos.com/images/z/1/0/6/1066420-p-DETAILED.jpg,,32,,,12,34,,20,,16,44
http://www.zappos.com/product/7608810,Dockers Men's,Signature Khaki D3 Classic Fit Pleated,35.99,http://www.zappos.com/images/z/1/0/6/1066456-p-DETAILED.jpg,,32,,,12,32,,20,,16,
http://www.zappos.com/product/7608810,Dockers Men's,Signature Khaki D3 Classic Fit Pleated,35.99,http://www.zappos.com/images/z/1/0/6/1066456-p-DETAILED.jpg,,32,,,12,32,,20,,16,
http://www.zappos.com/product/7608810,Dockers Men's,Signature Khaki D3 Classic Fit Pleated,35.99,http://www.zappos.com/images/z/1/0/6/1066456-p-DETAILED.jpg,,32,,,12,32,,20,,16,
http://www.zappos.com/product/7608810,Dockers Men's,Signature Khaki D3 Classic Fit Pleated,35.99,http://www.zappos.com/images/z/1/0/6/1066456-p-DETAILED.jpg,,32,,,12,32,,20,,16,
http://www.zappos.com/product/7608810,Dockers Men's,Signature Khaki D3 Classic Fit Pleated,35.99,http://www.zappos.com/images/z/1/0/6/1066456-p-DETAILED.jpg,,32,,,12,32,,20,,16,
http://www.zappos.com/product/7608825,Dockers Men's,Signature Khaki D2 Straight Fit Flat Front,35.99,http://www.zappos.com/images/z/1/4/3/1433768-p-DETAILED.jpg,,32,,,11,32,,18,,16,42
http://www.zappos.com/product/7608825,Dockers Men's,Signature Khaki D2 Straight Fit Flat Front,35.99,http://www.zappos.com/images/z/1/4/3/1433768-p-DETAILED.jpg,,32,,,11,32,,18,,16,42
http://www.zappos.com/product/7608803,Dockers Men's,Signature Khaki D3 Classic Fit Flat Front,35.99,http://www.zappos.com/images/z/1/0/6/1066420-p-DETAILED.jpg,,32,,,12,34,,20,,16,44
http://www.zappos.com/product/7609894,Dockers Men's,Signature Khaki D1 Slim Fit Flat Front,35.99,http://www.zappos.com/images/z/1/0/6/1068464-p-DETAILED.jpg,,34,,,11,32,,18,,15,42
http://www.zappos.com/product/7609894,Dockers Men's,Signature Khaki D1 Slim Fit Flat Front,35.99,http://www.zappos.com/images/z/1/0/6/1068464-p-DETAILED.jpg,,34,,,11,32,,18,,15,42
http://www.zappos.com/product/7609894,Dockers Men's,Signature Khaki D1 Slim Fit Flat Front,35.99,http://www.zappos.com/images/z/1/0/6/1068464-p-DETAILED.jpg,,34,,,11,32,,18,,15,42
http://www.zappos.com/product/7608803,Dockers Men's,Signature Khaki D3 Classic Fit Flat Front,35.99,http://www.zappos.com/images/z/1/0/6/1066420-p-DETAILED.jpg,,32,,,12,34,,20,,16,44
http://www.zappos.com/product/7608810,Dockers Men's,Signature Khaki D3 Classic Fit Pleated,35.99,http://www.zappos.com/images/z/1/0/6/1066456-p-DETAILED.jpg,,32,,,12,32,,20,,16,
http://www.zappos.com/product/7608810,Dockers Men's,Signature Khaki D3 Classic Fit Pleated,35.99,http://www.zappos.com/images/z/1/0/6/1066456-p-DETAILED.jpg,,32,,,12,32,,20,,16,
http://www.zappos.com/product/7609894,Dockers Men's,Signature Khaki D1 Slim Fit Flat Front,35.99,http://www.zappos.com/images/z/1/0/6/1068464-p-DETAILED.jpg,,34,,,11,32,,18,,15,42
http://www.zappos.com/product/7608803,Dockers Men's,Signature Khaki D3 Classic Fit Flat Front,35.99,http://www.zappos.com/images/z/1/0/6/1066420-p-DETAILED.jpg,,32,,,12,34,,20,,16,44
http://www.zappos.com/product/7634499,Dockers Men's,Herringbone Khaki D1 Slim Fit Flat Front,31.99,http://www.zappos.com/images/z/1/1/2/1124021-p-DETAILED.jpg,,34,,,12,34,,18,,16,
http://www.zappos.com/product/7636346,Jack Spade,The Blainville,85.99,http://www.zappos.com/images/z/1/1/2/1127806-p-DETAILED.jpg,,32,,,,,,,,,
http://www.zappos.com/product/7816888,Dockers Big & Tall,Big & Tall Signature Khaki D3 Classic Fit Flat Front,39.99,http://www.zappos.com/images/z/1/1/9/1192623-p-DETAILED.jpg,,46,,46,14,32,,20,,18,43
http://www.zappos.com/product/7659768,Vivienne Westwood,S25KA0176 S38885 090,150.99,http://www.zappos.com/images/z/1/1/8/1181956-p-DETAILED.jpg,,30,,,,25.5,,16.5,,,43.5
http://www.zappos.com/product/7659768,Vivienne Westwood,S25KA0176 S38885 090,150.99,http://www.zappos.com/images/z/1/1/8/1181956-p-DETAILED.jpg,,30,,,,25.5,,16.5,,,43.5
http://www.zappos.com/product/7664236,Dockers Men's,Advantage 365 Khaki D3 Classic Fit Pleated,33.99,http://www.zappos.com/images/z/1/4/3/1434090-p-DETAILED.jpg,,34,,,12,34,,20,,17,42
http://www.zappos.com/product/7664236,Dockers Men's,Advantage 365 Khaki D3 Classic Fit Pleated,33.99,http://www.zappos.com/images/z/1/4/3/1434090-p-DETAILED.jpg,,34,,,12,34,,20,,17,42
http://www.zappos.com/product/7693848,Dockers Men's,Advantage 365 Khaki D3 Classic Fit Flat Front,33.99,http://www.zappos.com/images/z/1/1/9/1192314-p-DETAILED.jpg,,34,,,12,32,,20,,16,
http://www.zappos.com/product/7664269,Dockers Big & Tall,Big & Tall True Chino D4 Relaxed Fit Pleat,35.99,http://www.zappos.com/images/z/1/4/3/1434170-p-DETAILED.jpg,,40,,,12,38,,18,,17,48
http://www.zappos.com/product/7664269,Dockers Big & Tall,Big & Tall True Chino D4 Relaxed Fit Pleat,35.99,http://www.zappos.com/images/z/1/4/3/1434170-p-DETAILED.jpg,,40,,,12,38,,18,,17,48
